split,metric,Classical,Transformer
VAL,F1_micro,0.9831540995835146,0.9889235136219184
VAL,F1_macro,0.9537810184431105,0.9847030718906492
TEST,F1_micro,0.9833226285132112,0.9884532040490706
TEST,F1_macro,0.9572497057448229,0.9842738507474328
