Metric,Classical,Transformer
ROC-AUC micro (VAL),0.999947324556528,0.9997281976532191
ROC-AUC macro (VAL),0.9999570520757495,0.9994333991468592
ROC-AUC micro (TEST),0.9999608649498982,0.999746824480729
ROC-AUC macro (TEST),0.9999683060533844,0.9994809037415012
"Throughput (test docs/sec, classical)",80007.56756815025,
Vectorise time (VAL) sec,17.293865442276,
Infer time (VAL) sec (classical),1.1557037830352783,
Model size MB (classical total),80.95960235595703,
Model folder size MB (transformer),,256.3663845062256
